"day";"month";"year";"temp"
01;07;1986;22.4
02;07;1986;20.5
03;07;1986;19.7
04;07;1986;18.8
05;07;1986;17.2
06;07;1986;17.9
07;07;1986;16.8
08;07;1986;14
09;07;1986;13.9
10;07;1986;12.6
11;07;1986;14.1
12;07;1986;14
13;07;1986;14.1
14;07;1986;17.2
15;07;1986;17.1
16;07;1986;18.4
17;07;1986;17.4
18;07;1986;17.2
19;07;1986;15.8
20;07;1986;14.2
21;07;1986;16.8
22;07;1986;14.8
23;07;1986;14.2
24;07;1986;16.2
25;07;1986;18
26;07;1986;16.5
27;07;1986;15.1
28;07;1986;17.3
29;07;1986;16.4
30;07;1986;17
31;07;1986;15.2
01;07;1987;14.3
02;07;1987;16.5
03;07;1987;15.7
04;07;1987;15.9
05;07;1987;18.7
06;07;1987;18.8
07;07;1987;17.1
08;07;1987;16
09;07;1987;12.7
10;07;1987;12.2
11;07;1987;14
12;07;1987;15.6
13;07;1987;15
14;07;1987;16.2
15;07;1987;17.7
16;07;1987;17.3
17;07;1987;17.7
18;07;1987;17.2
19;07;1987;18.6
20;07;1987;18.9
21;07;1987;21.3
22;07;1987;22.3
23;07;1987;21.2
24;07;1987;17
25;07;1987;14.2
26;07;1987;13.7
27;07;1987;15.5
28;07;1987;15.4
29;07;1987;14.2
30;07;1987;13
31;07;1987;13.4
01;07;1988;20
02;07;1988;17.8
03;07;1988;16.6
04;07;1988;16.6
05;07;1988;16.9
06;07;1988;16.9
07;07;1988;15.3
08;07;1988;16.3
09;07;1988;14.7
10;07;1988;15.3
11;07;1988;15.8
12;07;1988;15.7
13;07;1988;16
14;07;1988;16.1
15;07;1988;15.4
16;07;1988;19.4
17;07;1988;16.9
18;07;1988;18
19;07;1988;19.4
20;07;1988;17
21;07;1988;15.3
22;07;1988;14.7
23;07;1988;16.2
24;07;1988;17.1
25;07;1988;16.7
26;07;1988;17
27;07;1988;13.4
28;07;1988;14.5
29;07;1988;13.1
30;07;1988;12.9
31;07;1988;14.1
01;07;1989;12.7
02;07;1989;16.4
03;07;1989;18
04;07;1989;19.6
05;07;1989;20
06;07;1989;21.5
07;07;1989;18.1
08;07;1989;20.8
09;07;1989;19.2
10;07;1989;20.2
11;07;1989;19.9
12;07;1989;18
13;07;1989;12.3
14;07;1989;12.6
15;07;1989;14.4
16;07;1989;14.1
17;07;1989;10.8
18;07;1989;13.3
19;07;1989;13.5
20;07;1989;16.5
21;07;1989;17.6
22;07;1989;17
23;07;1989;18.4
24;07;1989;20
25;07;1989;21
26;07;1989;21.1
27;07;1989;17.2
28;07;1989;16.3
29;07;1989;16.5
30;07;1989;17.6
31;07;1989;12.1
01;07;1990;13.5
02;07;1990;14.5
03;07;1990;15.6
04;07;1990;13.8
05;07;1990;12.7
06;07;1990;13.4
07;07;1990;14.5
08;07;1990;12.3
09;07;1990;14.5
10;07;1990;13.5
11;07;1990;15.9
12;07;1990;15
13;07;1990;14.6
14;07;1990;15.4
15;07;1990;18
16;07;1990;16.6
17;07;1990;18.8
18;07;1990;18.8
19;07;1990;18.9
20;07;1990;20.4
21;07;1990;18.2
22;07;1990;15.4
23;07;1990;14.7
24;07;1990;16.6
25;07;1990;20.9
26;07;1990;20.5
27;07;1990;21
28;07;1990;19.2
29;07;1990;18.7
30;07;1990;17.7
31;07;1990;19.5
01;07;1991;14.5
02;07;1991;15.9
03;07;1991;18.5
04;07;1991;20.9
05;07;1991;22.1
06;07;1991;23
07;07;1991;23.6
