"day";"month";"year";"temp"
1;7;2016;13.7
2;7;2016;13.5
3;7;2016;13.6
4;7;2016;15.2
5;7;2016;14.8
6;7;2016;16.6
7;7;2016;16.3
8;7;2016;18
9;7;2016;17.9
10;7;2016;17.2
11;7;2016;16.7
12;7;2016;16.5
13;7;2016;16.2
14;7;2016;17.2
15;7;2016;19.1
16;7;2016;17.8
17;7;2016;14.9
18;7;2016;16.4
19;7;2016;16.6
20;7;2016;20
21;7;2016;21.8
22;7;2016;21.3
23;7;2016;20.1
24;7;2016;20.5
25;7;2016;19.3
26;7;2016;18.1
27;7;2016;16.3
28;7;2016;18.1
29;7;2016;16.5
30;7;2016;16.6
31;7;2016;15.8
1;7;2017;20.4
2;7;2017;17.9
3;7;2017;16.2
4;7;2017;15.7
5;7;2017;15.5
6;7;2017;16
7;7;2017;16.4
8;7;2017;15.9
9;7;2017;17.1
10;7;2017;14.8
11;7;2017;15.4
12;7;2017;13.9
13;7;2017;14.8
14;7;2017;16.4
15;7;2017;17.1
16;7;2017;16.1
17;7;2017;15.5
18;7;2017;16.8
19;7;2017;17.3
20;7;2017;19.7
21;7;2017;17.1
22;7;2017;19.1
23;7;2017;20.2
24;7;2017;17.7
25;7;2017;19.9
26;7;2017;18.6
27;7;2017;17.1
28;7;2017;16.5
29;7;2017;16
30;7;2017;16.2
31;7;2017;16.1
1;7;2018;20.4
2;7;2018;21.7
3;7;2018;23.6
4;7;2018;22.8
5;7;2018;19.4
6;7;2018;21.8
7;7;2018;20.5
8;7;2018;21.4
9;7;2018;17.7
10;7;2018;23.4
11;7;2018;25
12;7;2018;21.5
13;7;2018;22.3
14;7;2018;20.5
15;7;2018;20.7
16;7;2018;21.9
17;7;2018;24.6
18;7;2018;22.1
19;7;2018;22.5
20;7;2018;21.2
21;7;2018;20.6
22;7;2018;20.8
23;7;2018;22.8
24;7;2018;23.3
25;7;2018;22.7
26;7;2018;24.3
27;7;2018;25.9
28;7;2018;24.7
29;7;2018;22.3
30;7;2018;21
31;7;2018;23.5
1;7;2019;17.7
2;7;2019;14.3
3;7;2019;13
4;7;2019;12.9
5;7;2019;15.7
6;7;2019;13.5
7;7;2019;14.5
8;7;2019;16.4
9;7;2019;17.4
10;7;2019;19.5
11;7;2019;19.7
12;7;2019;18.9
13;7;2019;19.1
14;7;2019;18
15;7;2019;16.3
16;7;2019;16.2
17;7;2019;17.6
18;7;2019;16.5
19;7;2019;16.1
20;7;2019;17.8
21;7;2019;16.9
22;7;2019;16.6
23;7;2019;20.3
24;7;2019;20.6
25;7;2019;21.6
26;7;2019;25.3
27;7;2019;25
28;7;2019;25
29;7;2019;24.6
30;7;2019;14.3
31;7;2019;14.6
1;7;2020;13.6
2;7;2020;14
3;7;2020;12.1
4;7;2020;14.2
5;7;2020;13.6
6;7;2020;13.4
7;7;2020;11.2
8;7;2020;13.2
9;7;2020;14.8
10;7;2020;14.4
11;7;2020;15.5
12;7;2020;15.5
13;7;2020;15.8
14;7;2020;13.8
15;7;2020;17.4
16;7;2020;16.7
17;7;2020;16.7
18;7;2020;15.9
19;7;2020;15.9
20;7;2020;16.8
21;7;2020;14.8
22;7;2020;13.4
23;7;2020;14.5
24;7;2020;15.5
25;7;2020;16.4
26;7;2020;15.4
27;7;2020;16.4
28;7;2020;14.4
29;7;2020;13.8
30;7;2020;17.8
31;7;2020;19.9
1;7;2021;19.6
2;7;2021;22.2
3;7;2021;23.6
4;7;2021;20.6
5;7;2021;20.5
6;7;2021;18.9
7;7;2021;18
8;7;2021;18.1
9;7;2021;18.5
10;7;2021;16.5
11;7;2021;18.5
12;7;2021;19.2
13;7;2021;21.7
14;7;2021;21.9
15;7;2021;23.3
16;7;2021;22
17;7;2021;22
18;7;2021;18.7
19;7;2021;17.9
20;7;2021;19.8
21;7;2021;18.4
22;7;2021;21.1
23;7;2021;20.8
24;7;2021;21.9
25;7;2021;23.3
26;7;2021;21.8
27;7;2021;18.1
28;7;2021;18.2
29;7;2021;15.4
30;7;2021;19.3
31;7;2021;17.1
1;7;2022;21.2
2;7;2022;17.9
3;7;2022;16.1
4;7;2022;15.9
5;7;2022;15.9
6;7;2022;14.9
7;7;2022;17.5
8;7;2022;18.4
9;7;2022;16.8
10;7;2022;16.6
11;7;2022;17.7
12;7;2022;17.5
13;7;2022;17.8
14;7;2022;15.7
15;7;2022;15.6
16;7;2022;16.4
17;7;2022;16.8
18;7;2022;17.4
19;7;2022;19.1
20;7;2022;21.5
21;7;2022;21.4
22;7;2022;17.1
23;7;2022;16.9
24;7;2022;16.2
25;7;2022;16.6
26;7;2022;18
27;7;2022;17.8
28;7;2022;17.2
29;7;2022;18.5
30;7;2022;17.7
31;7;2022;17.2
1;7;2023;17.7
2;7;2023;15
3;7;2023;15.5
4;7;2023;15.3
5;7;2023;16.1
6;7;2023;14.9
7;7;2023;16.8
